"text","text_en","cmp_code","eu_code"
"am 22. September wählen Sie einen neuen Bundestag.","On September 22, you will elect a new Bundestag.",NA,NA
"Das ist eine Richtungsentscheidung für unser Land und für jeden Einzelnen.","This is a directional decision for our country and for each individual.",NA,NA
"Es geht darum, ob Deutschland ein starkes und erfolgreiches Land bleibt.","It is about whether Germany remains a strong and successful country.",NA,NA
"Ein Land mit einem stabilen Euro,","A country with a stable euro,",NA,NA
"in dem die Menschen sichere Arbeitsplätze haben","where people have secure jobs",NA,NA
"und für sich und ihre Familien sorgen können.","and can provide for themselves and their families.",NA,NA
"Ein Land, in dem jeder Mensch die Chance hat, aus seinem Leben etwas zu machen","A country where every person has the chance to make something of their life",NA,NA
"und zugleich bei Arbeitslosigkeit, Krankheit, Pflege oder im Alter gut abgesichert ist.","and at the same time is well protected in the event of unemployment, illness, nursing care or old age.",NA,NA
"Ein Land des Zusammenhalts,","A country of cohesion,",NA,NA
"in dem die Menschen gern und sicher leben.","where people like to live safely.",NA,NA
"All das kann nur gelingen, wenn Deutschland auch in Zukunft gut regiert wird.","All of this can only succeed if Germany continues to be well governed in the future.",NA,NA
"Es geht damit am 22. September auch um Ihre persönliche Zukunft!","On September 22, your personal future is also at stake!",NA,NA
"Vor der letzten Bundestagswahl 2009 waren die Sorgen um die Zukunft groß.","Before the last federal election in 2009, concerns about the future were high.",NA,NA
"Deutschland und Europa erlebten die schwerste Wirtschaftskrise seit dem Zweiten Weltkrieg.","Germany and Europe experienced the worst economic crisis since World War II.",NA,NA
"Heute ist Deutschland wieder ein erfolgreiches und starkes Land, eines der stärksten weltweit.","Today, Germany is once again a successful and strong country, one of the strongest in the world.",NA,NA
"Das zeigt: Unsere gemeinsamen Anstrengungen haben vieles zum Guten entwickelt.","This shows: Our joint efforts have developed many things for the better.",NA,NA
"Europa und der Euro kommen voran.","Europe and the euro are moving forward.",NA,NA
"Das macht auch unser Land stärker.","This also makes our country stronger.",NA,NA
"Noch nie hatten so viele Menschen bei uns einen Arbeitsplatz wie heute.","Never before have so many people had a job with us as today.",NA,NA
"Das bedeutet Sicherheit für die Menschen und die Chance, aus eigener Kraft am gesellschaftlichen Leben teilzuhaben.","This means security for people and the chance to participate in social life under their own steam.",NA,NA
"Die Einkommen und die Renten steigen, die Preise sind stabil.","Incomes and pensions are rising, prices are stable.",NA,NA
"Das zeigt, von der richtigen Politik von CDU und CSU haben alle Menschen etwas.","This shows that everyone benefits from the right policies of the CDU and CSU.",NA,NA
"Wer sich in den Staaten Europas umschaut, weiß, diese gute Entwicklung unseres Landes ist keine Selbstverständlichkeit.","Anyone who looks around the countries of Europe knows that this good development of our country cannot be taken for granted.",NA,NA
"Und die Gefahr ist groß, durch falsche Entscheidungen die Stabilität unserer Währung, Deutschlands wirtschaftliche Stärke und damit Arbeitsplätze aufs Spiel zu setzen.","And there is a great danger of putting the stability of our currency, Germany's economic strength and thus jobs at risk by making the wrong decisions.",NA,NA
"Die Union ist der Garant für eine kluge Politik,","The Union is the guarantor of smart policies,",NA,NA
"für eine solide Währung,","for a solid currency,",NA,NA
"stabile Finanzen,","stable finances,",NA,NA
"wirtschaftliche Stärke","economic strength",NA,NA
"und sichere Arbeitsplätze.","and secure jobs.",NA,NA
"Die europäische Schuldenkrise ist noch nicht vorbei.","The European debt crisis is not over yet.",NA,NA
"Ihre Bewältigung ist eine Herausforderung von historischem Ausmaß.","Meeting them is a challenge of historic proportions.",NA,NA
"Als größter Volkswirtschaft und Wachstumsmotor in Europa kommt unserem Land in dieser Situation eine besondere Verantwortung zu.","As the largest economy and growth engine in Europe, our country has a special responsibility in this situation.",NA,NA
"Wir stehen zu dieser Verantwortung, weil wir wissen, dass Deutschland auf Dauer nur stark und erfolgreich sein kann, wenn es auch Europa gut geht.","We stand by this responsibility because we know that Germany can only be strong and successful in the long term if Europe is also doing well.",NA,NA
"Deutschland und Europa erleben einen Bevölkerungswandel von bislang noch nicht gekanntem Ausmaß.","Germany and Europe are experiencing population change on an unprecedented scale.",NA,NA
"Unsere Bevölkerung ist die älteste in Europa, wir werden weniger und die Gesellschaft wird vielfältiger, weil der Anteil der Menschen mit Zuwanderungsgeschichte größer wird.","Our population is the oldest in Europe, we are becoming fewer in number, and society is becoming more diverse as the proportion of people with an immigrant background increases.",NA,NA
"Gleichzeitig wächst die Bevölkerung in anderen Regionen der Welt rasant.","At the same time, the population in other regions of the world is growing rapidly.",NA,NA
"Mittlerweile leben über sieben Milliarden Menschen auf der Welt.","There are now over seven billion people in the world.",NA,NA
"Die allermeisten außerhalb Europas.","The vast majority outside Europe.",NA,NA
"Das bleibt nicht ohne Folgen für unsere Wirtschaft.","This is not without consequences for our economy.",NA,NA
"Die großen Absatzmärkte der Zukunft liegen nicht länger nur vor unserer Haustür, sondern in den aufstrebenden Ländern Asiens und Lateinamerikas, in Afrika und der arabischen Welt.","The major sales markets of the future are no longer just on our doorstep, but in the emerging countries of Asia and Latin America, in Africa and the Arab world.",NA,NA
"Damit eröffnen sich neue Märkte und Chancen, gleichzeitig sind diese Länder aber auch Mitbewerber im weltweiten Wettbewerb.","This opens up new markets and opportunities, but at the same time these countries are also competitors in global competition.",NA,NA
"Der technische Fortschritt, insbesondere die Digitalisierung, verändert mit großer Geschwindigkeit unsere Art zu leben, zu arbeiten und uns miteinander auszutauschen.","Technological progress, especially digitization, is changing the way we live, work and interact with each other at great speed.",NA,NA
"Das eröffnet viele neue Chancen auf zukunftsfähige Arbeitsplätze und zukünftigen Wohlstand, aber Branchen und Betriebe verlieren auch den Anschluss, wenn sie nicht rechtzeitig auf die Veränderungen reagieren.","This opens up many new opportunities for sustainable jobs and future prosperity, but industries and companies will also lose out if they do not respond to the changes in time.",NA,NA
"Viel zu lange haben wir in Deutschland, Europa und darüber hinaus auf Kosten kommender Generationen gelebt – das gilt sowohl mit Blick auf die Finanzen als auch auf die Umwelt.","For far too long, we in Germany, Europe and beyond have lived at the expense of future generations - this applies both in terms of finances and the environment.",NA,NA
"Die Grenzen dieses Handelns werden immer stärker sichtbar.","The limits of this action are becoming increasingly apparent.",NA,NA
"Deshalb brauchen wir eine nachhaltige Wirtschaftsweise, die Lebensgrundlagen und Lebenschancen für kommende Generationen sichert.","That is why we need a sustainable economy that safeguards livelihoods and life opportunities for future generations.",NA,NA
"Wir wollen auch in den kommenden vier Jahren in dieser sich wandelnden Welt die Weichen für die Zukunft richtig stellen.","In the next four years, we want to continue to set the right course for the future in this changing world.",NA,NA
"Wir laden alle Menschen in unserem Land ein, diesen Weg mitzugehen, ihn mit ihren Ideen mitzugestalten und unser Land zusammen in eine gute Zukunft zu führen.","We invite all people in our country to join us on this path, to help shape it with their ideas and to lead our country together into a good future.",NA,NA
"Auf diesem Weg leiten CDU und CSU klare Vorstellungen und Prinzipien:","The CDU and CSU are guiding clear ideas and principles along this path:",NA,NA
"Wir wollen, dass Europa gestärkt aus der Krise hervorgeht","We want Europe to emerge stronger from the crisis",NA,NA
"und der Euro eine starke und stabile Währung bleibt.","and the euro remains a strong and stable currency.",NA,NA
"Dafür brauchen wir weitere Anstrengungen und Reformen vor allem in den Staaten, die unsere Hilfe brauchen.","For this, we need further efforts and reforms, especially in the states that need our help.",NA,NA
"Rot-Grün dagegen setzt auf eine Vergemeinschaftung der Schulden und Eurobonds.","The red-green coalition, on the other hand, is backing the communitization of debt and Eurobonds.",NA,NA
"Dies wäre der Weg in eine europäische Schuldenunion, in der deutsche Steuerzahler nahezu unbegrenzt für die Schulden anderer Länder einstehen müssten.","This would be the path to a European debt union, in which German taxpayers would have to assume almost unlimited responsibility for the debts of other countries.",NA,NA
"Das lehnen wir ab.","We reject that.",NA,NA
"Wir wollen die Soziale Marktwirtschaft stärken und ihre Prinzipien in Europa und darüber hinaus weiter verankern.","We want to strengthen the social market economy and further embed its principles in Europe and beyond.",NA,NA
"Sie hat unserem Land in den vergangenen 60 Jahren Wohlstand und soziale Sicherheit gebracht.","It has brought prosperity and social security to our country over the past 60 years.",NA,NA
"Sie stärkt den gesellschaftlichen Zusammenhalt","It strengthens social cohesion",NA,NA
"und den sozialen Ausgleich in unserem Land.","and social balance in our country.",NA,NA
"Sie ist damit eine Voraussetzung für eine starke Mitte in unserem Land.","It is thus a prerequisite for a strong center in our country.",NA,NA
"Unsere Ziele bleiben Arbeit für alle – sicher und gut bezahlt – und Sicherheit für die Menschen.","Our goals remain work for all - secure and well paid - and security for people.",NA,NA
"Dazu setzen wir auf Tatkraft, Ideenreichtum und technischen Fortschritt– und nicht auf rot-grüne Umverteilungspolitik.","To achieve this, we are relying on energy, inventiveness and technical progress - and not on red-green redistribution policies.",NA,NA
"Wir stehen dafür, dass Leistung sich lohnt.","We stand for the fact that performance pays off.",NA,NA
"Deshalb entlasten wir die Menschen.","That's why we're easing the burden on people.",NA,NA
"SPD und Grüne dagegen wollen die Menschen belasten.","The SPD and the Greens, on the other hand, want to burden people.",NA,NA
"Von ihren Steuererhöhungsplänen wäre ganz besonders unser starker Mittelstand mit seinen vielen Handwerkern und Familienunternehmern betroffen.","Their tax increase plans would particularly affect our strong middle class with its many craftsmen and family entrepreneurs.",NA,NA
"Damit würden die gute wirtschaftliche Entwicklung unseres Landes aufs Spiel gesetzt und Arbeitsplätze vernichtet.","This would jeopardize the good economic development of our country and destroy jobs.",NA,NA
"Wir sehen Deutschlands Chancen in einer nachhaltigen und international wettbewerbsfähigen Wirtschaft, deren Kern auch weiterhin eine moderne, industrielle Produktion ist.","We see Germany's opportunities in a sustainable and internationally competitive economy whose core remains modern, industrial production.",NA,NA
"Bildung und Forschung sind die Grundlagen für gesellschaftliche Teilhabe und wirtschaftlichen Erfolg.","Education and research are the foundations for social participation and economic success.",NA,NA
"Wir wollen, dass die Ergebnisse unserer Forschungsanstrengungen auch in Deutschland und Europa produziert und damit Arbeitsplätze, Wohlstand und soziale Sicherheit bei uns geschaffen werden.","We want the results of our research efforts to be produced in Germany and Europe as well, thus creating jobs, prosperity and social security in our country.",NA,NA
