"text","text_en","cmp_code","eu_code"
"Wahlplattform","Election platform",NA,NA
"von CDU und CSU","of CDU and CSU",NA,NA
"1. Der starke Staat schützt die Bürger. Null Toleranz bei Rechtsbruch und Gewalt","1. the strong state protects citizens. Zero tolerance for lawbreaking and violence",NA,NA
"2. Lebensqualität in Stadt und Land sichern – bäuerliche Landwirtschaft stärken – erfolgreiche Umweltpolitik fortsetzen","2. ensure quality of life in urban and rural areas - strengthen rural agriculture - continue successful environmental policy",NA,NA
"Vorstellung am 28. Juli in München","Presentation on July 28 in Munich",NA,NA
"3. Der Aufbau Ost hat Priorität","3. reconstruction east has priority",NA,NA
"4. Sozialer Zusammenhalt – Gesellschaft des Miteinanders - Freundschaft der Generationen","4. social cohesion - society of togetherness - friendship of generations",NA,NA
"Vorstellung am 3. August in Schwerin","Presentation on August 3 in Schwerin",NA,NA
"5. Der Aufschwung ist da – mehr Beschäftigung in Deutschland","5 The upswing is here - more employment in Germany",NA,NA
"6. Deutschlands Verantwortung für Europa und in der Welt","6. Germany's responsibility for Europe and in the world",NA,NA
"Vorstellung am 12. August in Bonn","Presentation on August 12 in Bonn",NA,NA
"Der starke Staat schützt die Bürger","The strong state protects citizens",NA,NA
"Null Toleranz bei Rechtsbruch und Gewalt","Zero tolerance for lawbreaking and violence",NA,NA
"Wir werden Kriminalität und Gewaltbereitschaft entschlossen entgegentreten","We will take decisive action against crime and violence","605",NA
"Die Bürger sollen sich überall in Deutschland sicher fühlen können","Citizens should be able to feel safe everywhere in Germany","605",NA
"Der Leitsatz muß lauten: Wehret den Anfängen","The guiding principle must be: Resist the beginnings","605",NA
"Anfänge, das sind die geduldete Ver­wahrlosung von öffentlichen Verkehrsmitteln und Plätzen durch Drogenszenen und Alkoholismus-Milieus, durch Vandalismus, Schmierereien und Belästigung durch aggressives Betteln","The beginnings are the tolerated neglect of public transportation and squares by drug scenes and alcoholic milieus, by vandalism, graffiti and harassment through aggressive begging","605",NA
"Wir wollen keine Gewöhnung an Ordnungswidrigkeiten, Laden­diebstahl und Drogenkonsum","We don't want people to become accustomed to misdemeanors, shoplifting and drug use","605",NA
"Wer wie Rot-Grün der Entkriminalisierung sog. ''Baga­telldelikte'' das Wort redet, der senkt Hemmschwellen, ermutigt Rechtsbrecher und entmutigt gesetzestreue Bürger","Those who advocate the decriminalization of so-called ''petty offences'', as the Red-Greens do, lower inhibition thresholds, encourage lawbreakers and discourage law-abiding citizens","605",NA
"Am Ende steht nicht weniger, sondern mehr Krimina­lität","The end result is not less crime, but more crime","605",NA
"Am Ende stehen Gewalt und Schwerverbrechen","The end result is violence and serious crime","605",NA
"Wir wollen eine konsequente Verfolgung aller Rechtsverstöße durch eine bürgernahe und motivierte Polizei","We want consistent prosecution of all breaches of the law by a motivated police force that is close to the people","605",NA
"Wir wollen die Neuorientierung im Strafrecht vorantreiben und mehr Vorrang für den Schutz der Opfer durchsetzen","We want to drive forward the reorientation of criminal law and give greater priority to the protection of victims","605",NA
"Die Strafen für Kindesmißbrauch und Gewaltdelikte haben wir verschärft","We have toughened the penalties for child abuse and violent offenses","605",NA
"In den offenen Strafvollzug dürfen nur Gefangene, die keine Ge­fahr darstellen","Only prisoners who do not pose a danger are allowed into open prisons","605",NA
"Der Schutz der Bürger muß Vorrang haben","The protection of citizens must take priority","605",NA
"Wiederholungstäter wer­den durch eine Gendatei sicher und schnell identifiziert","Repeat offenders are identified quickly and reliably using a gene file","605",NA
"Wir wollen unsere Kinder und Jugendlichen vor gemeingefährlichen Straftätern und zunehmenden Gewalteinflüssen schützen","We want to protect our children and young people from dangerous criminals and the increasing influence of violence","605",NA
"Leben und Sicherheit unserer Kinder haben Vorrang vor Resozialisierungsansprüchen von Sexualstraftätern","The lives and safety of our children take priority over sex offenders' demands for rehabilitation","605",NA
"Wir wollen gewalt­verherrlichenden und abstoßenden Darstellungen in den Medien und im Internet scharf entgegentreten, auch durch internationale Rechtsstandards und konsequente grenzüberschreitende Fahndung","We want to take strong action against depictions in the media and on the internet that glorify violence and are repulsive, including through international legal standards and consistent cross-border investigations","605",NA
"Wir werden dem erschreckenden Anstieg der Kinder- und Jugendkriminalität konse­quent begegnen","We will consistently counter the alarming rise in child and youth crime","605",NA
"Wir setzen auf Vorbeugung durch wertevermittelnde Erziehung in Familien und Schulen,","We focus on prevention through values-based education in families and schools,","603",NA
"auf Freizeitangebote und soziale Betreuung Jugendlicher","on leisure activities and social support for young people","706",NA
"Um Verantwortung für eigenes Handeln bewußt zu machen, sind Jugendliche stärker zur Wiedergutmachung zu verpflichten","In order to make young people aware of their responsibility for their own actions, they should be more strongly obliged to make amends","605",NA
"Auf kriminelles Handeln Jugendlicher muß eine unmißverständliche strafrechtliche Sanktion folgen","Criminal behavior by young people must be followed by an unequivocal criminal sanction","605",NA
"In schweren Fällen kann auf die Unterbringung in geschlossenen Heimen nicht verzichtet werden","In severe cases, placement in closed homes cannot be dispensed with","605",NA
"Für kriminelle Heranwachsende (bis 21 Jahre) muß die Verurteilung nach dem Erwachsenenstrafrecht wieder der Regelfall werden","For criminal adolescents (up to the age of 21), sentencing under adult criminal law must once again become the rule","605",NA
"Bei Anwendung von Jugendstrafrecht wird eine Anhebung der Höchststrafe von 10 auf 15 Jahre angestrebt","When applying juvenile criminal law, the aim is to increase the maximum sentence from 10 to 15 years","605",NA
"CDU und CSU wollen das Rechtsbewußtsein stärken","CDU and CSU want to strengthen legal awareness","605",NA
"Den wichtigen wertever­mit­telnden Instanzen unserer Gesellschaft - Familie, Schule, Kirchen - kommt dabei be­sondere Bedeutung in der Erziehung zu","The important instances in our society that convey values - family, school, churches - are of particular importance in education","603",NA
"Auch die Medien müssen sich ihrer gesell­schaftlichen Verantwortung bewußt sein","The media must also be aware of their social responsibility","603",NA
"Es muß Schluß sein mit der Unkultur des Wegsehens","We have to put an end to the culture of looking the other way","606",NA
"Wir wollen verantwortungsbe­wußtes Hinsehen, Helfen und aktive Nachbarschaft fördern","We want to promote a responsible approach, help and active neighborliness","606",NA
"Modelle wie die ''Sicher­heitswacht'' in Bayern haben sich bewährt","Models such as the ''Sicherheitswacht'' in Bavaria have proven their worth","606",NA
"Sie sollten in allen Bundesländern einge­führt werden","They should be introduced in all federal states","606",NA
"Wir wollen den Schutz vor Gewalt und Kriminalität als zentrale und ge­meinsame Aufgabe von Staat und Bürgern","We want protection against violence and crime to be a central and joint task of the state and citizens","605",NA
