"text","text_en","cmp_code","eu_code"
"Die Entscheidung","The decision",NA,NA
"Deutschland soll entscheiden.","Germany should decide.","202",NA
"Ein starkes Land braucht Selbstvertrauen.","A strong country needs self-confidence.","601",NA
"Und gute Politik braucht das Vertrauen der Bürgerinnen und Bürger.","And good politics needs the trust of the citizens.","305",NA
"Um unser Land in eine gute Zukunft zu führen, müssen Blockaden aufgebrochen und lähmender Streit überwunden werden.","In order to lead our country into a good future, blockades must be broken up and paralyzing strife overcome.","305",NA
"Jetzt und nicht erst in einem Jahr soll die notwendige Richtungsentscheidung getroffen werden.","The necessary directional decision should be made now and not in a year's time.","305",NA
"Mit Gerhard Schröder als Bundeskanzler wollen wir Antwort geben auf die Herausforderungen dieser Zeit und Voraussetzungen schaffen für eine gute Zukunft – für Arbeit, Sicherheit, Menschlichkeit.","With Gerhard Schröder as Chancellor, we want to respond to the challenges of these times and create the conditions for a good future - for work, security and humanity.","305",NA
"Deshalb wollen wir Neuwahlen zum Deutschen Bundestag noch in diesem Herbst.","That is why we want new elections to the German Bundestag this fall.","305",NA
"Wir wissen, dass politisches Handeln in dieser Zeit den Bürgerinnen und Bürgern nicht alle Sorgen nehmen und nicht alle Wünsche erfüllen kann.","We know that political action at this time cannot take away all citizens' worries or fulfill all their wishes.","305",NA
"Und wir wissen auch, dass es keine einfachen und schnellen Lösungen geben kann.","And we also know that there can be no quick and easy solutions.","305",NA
"Doch wir sind sicher, dass wir gemeinsam große Ziele erreichen können.","But we are sure that together we can achieve great goals.","305",NA
"Ziele, die sich lohnen:","Goals that are worthwhile:","305",NA
"Wir wollen eine starke Wirtschaft,","We want a strong economy","410",NA
"deren Erträge fair verteilt werden, die Grundlage ist für den Wohlstand aller.","whose returns are fairly distributed, which is the basis for everyone's prosperity.","503",NA
"Wir streiten für einen starken und sozialen Staat, der seinen Menschen höchstmögliche Sicherheit gibt.","We fight for a strong and social state that gives its people the highest possible security.","503",NA
"Wir erstreben eine menschliche Gesellschaft, die sich der Freiheit, der Gerechtigkeit und der Solidarität verpflichtet fühlt.","We strive for a humane society committed to freedom, justice and solidarity.","606",NA
"Wir Sozialdemokratinnen und Sozialdemokraten haben mit Gerhard Schröder als Bundeskanzler die Grundlagen für eine gute Zukunft geschaffen.","With Gerhard Schröder as Federal Chancellor, we Social Democrats have laid the foundations for a good future.","305",NA
"Unser Weg ist klar.","Our path is clear.","305",NA
"Wir wollen ihn weitergehen, getragen vom Mandat der Wählerinnen und Wähler.","We want to continue on this path, supported by the mandate of the voters.","305",NA
"Wir haben Vertrauen in Deutschland.","We have confidence in Germany.","601",NA
"Das Erreichte: Erneuerung und Zusammenhalt","What we have achieved: renewal and cohesion",NA,NA
"Wir haben 1998 die Regierungsverantwortung übernommen, um Deutschland gerecht und nachhaltig zu erneuern.","We took over government responsibility in 1998 to renew Germany fairly and sustainably.","305",NA
