"text","text_en","cmp_code","eu_code"
"ERNEUERUNG UND ZUSAMMENHALT –","RENEWAL AND COHESION -",NA,NA
"WIR IN DEUTSCHLAND","WE IN GERMANY",NA,NA
"PRÄAMBEL","PREAMBLE",NA,NA
"Wir haben mit unserer Politik der Mitte die Erneuerung in Deutschland begonnen:","With our centrist policy, we have begun the renewal process in Germany:","305",NA
"Und wir wollen sie fortsetzen","And we want to continue it","305",NA
"und den Zusammenhalt sichern.","and secure cohesion.","606",NA
"Diese vier Jahre haben sich gelohnt für unser Land.","These four years have been worthwhile for our country.","305",NA
"Der Reformstau ist aufgelöst.","The reform backlog has been cleared.","305",NA
"Deutschland ist in Bewegung gekommen.","Germany is on the move.","305",NA
"Unser Land ist wirtschaftlich robuster, moderner, gerechter und weltoffener geworden.","Our country has become more economically robust, modern, fair and open to the world.","305",NA
"Der Stillstand ist überwunden.","The standstill has been overcome.","305",NA
"Diese Politik der sozialen","This policy of social","503",NA
"und ökologischen Modernisierung bleibt richtig.","and ecological modernization remains correct.","501",NA
"Denn die Herausforderungen von heute und morgen sind nicht mit Rezepten von gestern und vorgestern zu meistern.","Because the challenges of today and tomorrow cannot be mastered with recipes from yesterday and the day before.","305",NA
"Deutschland braucht die Politik der Erneuerung und des Zusammenhalts.","Germany needs the politics of renewal and cohesion.","305",NA
"Das ist unsere Politik der Mitte.","This is our middle-of-the-road policy.","305",NA
"Wir hatten Innovation.","We had innovation.","411",NA
"und Gerechtigkeit versprochen","and justice promised","503",NA
"Wir haben Wort gehalten.","We have kept our word.","305",NA
"Das gilt auch für die Zukunft.","This also applies to the future.","305",NA
"Wir sagen, was wir tun und wir tun, was wir sagen.","We say what we do and we do what we say.","305",NA
"Deshalb gibt es bei uns keine unerfüllbaren Versprechungen.","That is why we do not make unfulfillable promises.","305",NA
"Manches Wünschenswerte ist nicht machbar, mindestens nicht sofort.","Some desirable things are not feasible, at least not immediately.","305",NA
"Wir haben Sicherheit im Wandel und Sicherheit durch Wandel gefordert und dies bleibt Orientierung für unsere Politik:","We have called for security in change and security through change, and this remains the orientation for our policies:","305",NA
"Wir wollen Deutschlands Rolle in Europa und in der Welt gerecht werden,","We want to do justice to Germany's role in Europe and in the world,","601",NA
"Wir wollen das bewährte Sozialstaatsmodell nachhaltig fortentwickeln,","we want to sustainably develop the proven welfare state model,","504",NA
"Wohlstand sichern,","secure prosperity","408",NA
"Beschäftigung für alle erreichen,",", achieve employment for all, and","408",NA
"eine gesunde Umwelt garantieren.","guarantee a healthy environment.","501",NA
"Und wir wollen eine lebendige Demokratie ermöglichen, mit einer freien und offenen Kultur.","And we want to enable a living democracy, with a free and open culture.","202",NA
"Die Richtung stimmt.","The direction is right.","305",NA
"Wir werden den Weg weitergehen.","We will continue along the path.","305",NA
"Deutschland ist ein starkes Land, es hat alle Chancen.","Germany is a strong country, it has all the opportunities.","601",NA
"Vertrauen in Bundeskanzler Gerhard Schröder","Confidence in Chancellor Gerhard Schröder",NA,NA
"Gerhard Schröder hat als Bundeskanzler mit neuen politischen Ideen und mit neuem politischen Stil Deutschland erfolgreich ins neue Jahrhundert geführt.","As Chancellor, Gerhard Schröder successfully led Germany into the new century with new political ideas and a new political style.","305",NA
"Er ist mit Leidenschaft in der Sache und mit Augenmaß seiner Verantwortung gerecht geworden.","He has been passionate about the cause and measured in his responsibilities.","305",NA
"Gerhard Schröder sucht den gesellschaftlichen Konsens und er führt entschieden.","Gerhard Schröder seeks social consensus and he leads decisively.","305",NA
"Er macht Mut und hat Zuversicht in die Gestaltbarkeit der Zukunft.","It gives courage and confidence that the future can be shaped.","305",NA
"Er zeigt, dass er das Leben mag.","He shows that he likes life.","305",NA
"Er stellt sich Herausforderungen.","He faces challenges.","305",NA
"Gerhard Schröder macht gute Arbeit für unser Land.","Gerhard Schröder is doing a good job for our country.","305",NA
"Er genießt Vertrauen.","He enjoys trust.","305",NA
"Und es gibt noch viel zu tun.","And there is still a lot to do.","305",NA
"Gerhard Schröder muss Bundeskanzler unseres Landes bleiben.","Gerhard Schröder must remain Chancellor of our country.","305",NA
"Die deutsche Sozialdemokratie in der Mitte der Gesellschaft","German Social Democracy in the Middle of Society",NA,NA
"Wir leben in Zeiten des Wandels.","We live in times of change.","000",NA
