"text","text_en","cmp_code","eu_code"
"Dieses SPD-Regierungsprogramm 2013 steht in einer Reihe und zugleich großen Tradition von Programmen unserer Partei.","This SPD government program 2013 is part of a series and at the same time great tradition of programs of our party.","305",NA
"Mit unseren Regierungsprogrammen haben wir immer wieder den Nachweis von Regierungswilligkeit und Regierungsfähigkeit geliefert.","With our government programs, we have repeatedly provided proof of our willingness and ability to govern.","305",NA
"Vor allem aber haben wir stets bewiesen, dass wir – programmatisch gerüstet und geschlossen – die wirtschaftlichen, sozialen und gesellschaftlichen Verhältnisse für die Menschen in unserem Land nachhaltig verändern wollen.","Above all, however, we have always demonstrated that - programmatically equipped and united - we want to bring about lasting change in the economic, social and societal conditions for the people in our country.","305",NA
"Gerade im Vorfeld von Wahlen ist es unerlässlich, dass sich die SPD ganz konkret darüber im Klaren ist, was politisch zu tun ist, wenn es die Verhältnisse im Lande, um uns herum in Europa und in der Welt erfordern.","Especially in the run-up to elections, it is essential for the SPD to be very clear about what needs to be done politically when conditions in the country, around us in Europe and in the world demand it.","305",NA
"Auf der Höhe der Zeit zu sein, bedeutet zuerst, dass wir uns daran erinnern: Die Kraft der Erneuerung hat in der SPD eine Tradition, die Gründungsgedanke und Gegenwartsaufgabe zugleich ist.","Being up to date means first of all that we remember: The power of renewal has a tradition in the SPD that is both a founding idea and a task for the present.","305",NA
"Wir haben unser Land zum Besseren verändert und wollen dies weiter tun.","We have changed our country for the better and want to continue to do so.","305",NA
"In diesem Jahr fällt die Bundestagswahl mit unserem historischen Jubiläum zusammen:","This year, the federal election coincides with our historic anniversary:","305",NA
"Die SPD feiert ihr 150jähriges Bestehen.","The SPD celebrates its 150th anniversary.","305",NA
"Damit sind wir die älteste demokratische Partei Deutschlands und die traditionsreichste sozialdemokratische Partei der Welt.","This makes us the oldest democratic party in Germany and the most traditional social democratic party in the world.","305",NA
"Seit ihrer Gründung 1863 kämpfen Millionen unserer Mitglieder für Freiheit,","Since its foundation in 1863, millions of our members have been fighting for freedom,","201",NA
"Demokratie","Democracy","202",NA
"und Gerechtigkeit.","and justice.","503",NA
"Sie treten ein für eine solidarische und fortschrittliche Gesellschaft,","They advocate a society based on solidarity and progress that","503",NA
"die den Einzelnen schützt und ihn zur Selbstbestimmung befähigt.","protects the individual and empowers him or her for self-determination.","201",NA
"Wir wissen: Die Frage von sozialer Gerechtigkeit und gleichen Rechten ist heute und in Zukunft genauso aktuell wie immer wieder in den vergangenen 150 Jahren.","We know: The question of social justice and equal rights is just as relevant today and in the future as it has always been over the past 150 years.","503",NA
"Ohne die SPD sähe unser Land anders und ärmer aus, gäbe es keinen Acht-Stunden-Tag, keine Arbeitnehmerrechte, keine Arbeitsschutzgesetzgebung","Without the SPD, our country would look different and poorer, there would be no eight-hour day, no workers' rights, no labor protection legislation","701",NA
"und keine Sozialstaatlichkeit in unserer Verfassung.","and no welfare state in our constitution.","203",NA
"Der Kampf um soziale Gerechtigkeit bleibt daher eine Daueraufgabe.","The fight for social justice therefore remains an ongoing task.","503",NA
"Die SPD ist und bleibt die große politische Kraft für Demokratie und Emanzipation in Deutschland.","The SPD is and remains the great political force for democracy and emancipation in Germany.","202",NA
"Die Ablehnung des Ermächtigungsgesetzes der Nazis vor 80 Jahren durch die SPD ist bis heute ein beispielloser Ausweis für unsere demokratische Grundhaltung und Überzeugung.","The SPD's rejection of the Nazi Enabling Act 80 years ago remains an unparalleled testament to our basic democratic stance and convictions.","202",NA
"Dafür wurden Sozialdemokratinnen und Sozialdemokraten immer wieder in der deutschen Geschichte verfolgt, unterdrückt, interniert, gedemütigt und getötet.","For this, Social Democrats have been persecuted, oppressed, interned, humiliated and killed time and again in German history.","305",NA
"Sich daran immer wieder zu erinnern, macht uns demütig, stolz, aber eben auch selbstbewusst.","Remembering this again and again makes us humble, proud, but also self-confident.","305",NA
"Zu dieser großen sozialdemokratischen Geschichte gehört auch die Gründung der SDP oder Ost-SPD im Oktober 1989, mit der Sozialdemokratinnen und Sozialdemokraten ihren Beitrag zur friedlichen Revolution in Deutschland geleistet haben.","This great social democratic history also includes the founding of the SDP or Ost-SPD in October 1989, with which social democrats made their contribution to the peaceful revolution in Germany.","202",NA
"Wir leben Demokratie und werden dies weiter tun.","We live democracy and will continue to do so.","202",NA
"Sozialdemokratinnen und Sozialdemokraten stehen seit dem 19. Jahrhundert für die Gleichstellung von Frauen und Männern,","Social democrats have stood for equality between women and men since the 19th century;","503",NA
"in diese Tradition gehören die Einführung des allgemeinen und gleichen Wahlrechts 1919,","this tradition includes the introduction of universal and equal suffrage in 1919,","503",NA
