"text","text_en","cmp_code","eu_code"
"•  Wir fordern eine geordnete Auflösung des Euro-Währungsgebietes.","- We call for an orderly dissolution of the euro area.","110",NA
"Deutschland braucht den Euro nicht.","Germany does not need the euro.","110",NA
"Anderen Ländern schadet der Euro.","The euro is damaging other countries.","110",NA
"•   Wir fordern die Wiedereinführung nationaler Währungen oder die Schaffung kleinerer und stabilerer Währungsverbünde.","- We call for the reintroduction of national currencies or the creation of smaller and more stable currency alliances.","110",NA
"Die Wiederein-führung der DM darf kein Tabu sein.","The reintroduction of the DM must not be taboo.","601",NA
"•  Wir fordern eine Änderung der Europäischen Verträge, um jedem Staat ein Ausscheiden aus dem Euro zu ermöglichen.","- We call for an amendment of the European treaties to allow any state to leave the euro.","110",NA
"Jedes Volk muss demokratisch über seine Währung entscheiden dürfen.","Every nation must be allowed to decide democratically about its currency.","202",NA
"•   Wir fordern, dass Deutschland dieses Austrittsrecht aus dem Euro er-zwingt, indem es weitere Hilfskredite des ESM mit seinem  Veto blo-ckiert.","- We demand that Germany enforces this right to leave the euro by blocking further ESM bailout loans with its veto.","110",NA
"•   Wir fordern, dass die Kosten der sogenannten Rettungs-politik nicht  vom Steuerzahler getragen werden.","- We demand that the costs of the so-called rescue policy are not borne by the taxpayer.","414",NA
"Banken, Hedge-Fonds und pri-vate Großanleger sind die Nutznießer dieser Politik.","Banks, hedge funds and large private investors are the beneficiaries of this policy.","414",NA
"Sie müssen zuerst dafür geradestehen.","They have to pay for it first.","414",NA
"•  Wir fordern, dass hoffnungslos überschuldete Staaten durch einen Schuldenschnitt entschuldet werden.","- We demand that hopelessly over-indebted states be relieved of their debt by means of a debt haircut.","107",NA
"•  In der Schuldenkrise müssen Banken ihre Verluste selbst tragen oder zu Lasten ihrer privaten Großgläubiger stabilisiert werden.","- In the debt crisis, banks must bear their own losses or be stabilized at the expense of their major private creditors.","401",NA
"•  Wir fordern ein sofortiges Verbot des Ankaufs von Schrottpapieren durch die Europäische Zentralbank.","- We demand an immediate ban on the purchase of junk securities by the European Central Bank.","414",NA
"Inflation darf nicht die Ersparnisse der Bürger aufzehren.","Inflation must not be allowed to eat away at people's savings.","414",NA
"Europapolitik","European policy",NA,NA
"•  Wir bejahen ein Europa souveräner Staaten mit einem gemeinsamen Binnenmarkt.","- We affirm a Europe of sovereign states with a common internal market.","108",NA
"Wir wollen in Freundschaft und guter Nachbarschaft zusammenleben.","We want to live together in friendship and good neighborliness.","107",NA
"•   Wir bestehen auf  dem uneingeschränkten  Budgetrecht  der  nationa-len  Parlamente.","- We insist on the full budgetary rights of national parliaments.","202",NA
"Eine  Transferunion oder  gar  einen zentralisierten Euro-pastaat lehnen wir entschieden ab.","We firmly reject a transfer union or even a centralized euro state.","110",NA
"•  Wir werden dafür sorgen, dass Gesetzgebungskompetenzen zurück zu den nationalen Parlamenten verlagert werden.","- We will ensure that legislative powers are shifted back to the national parliaments. - We will push","110",NA
"•  Wir werden uns für eine Reform der EU stark machen, um die Brüsseler Bürokratie abzubauen","for a reform of the EU in order to reduce the Brussels bureaucracy","303",NA
"und Transparenz und Bürgernähe zu fördern.","and to promote transparency and proximity to the citizens.","303",NA
"•  Das europäische Parlament hat bei der Kontrolle Brüssels versagt.","- The European Parliament has failed in its control of Brussels.","110",NA
"Wir unterstützen nachdrücklich die Positionen David Camerons, die EU durch mehr Wettbewerb und Eigenverantwortung zu verschlanken.","We strongly support David Cameron's positions to streamline the EU through more competition and ownership.","110",NA
"Rechtsstaatlichkeit und Demokratie","Rule of law and democracy",NA,NA
"•   Wir fordern, den Rechtsstaat uneingeschränkt zu achten.","- We demand that the rule of law be fully respected.","202",NA
"Staatliche Organe dürfen sich selbst in Einzelfällen nicht über Gesetze und Ver-träge hinwegsetzen.","State bodies may not disregard laws and treaties even in individual cases.","202",NA
"Vielmehr sind diese nach ihrem Buchstaben und nach ihrem Geist zu respektieren.","Rather, they are to be respected according to their letter and spirit.","202",NA
"•  Das Handeln jeder deutschen Regierung findet seine Beschränkungen im Völkerrecht, im Grundgesetz und in den Europäischen Verträgen.","- The actions of any German government find their limitations in international law, in the Basic Law and in the European Treaties.","202",NA
"Diese sind für unsere Gesellschaft von fundamentaler Bedeutung und strikt zu befolgen.","These are of fundamental importance to our society and must be strictly adhered to.","202",NA
"•  Wir fordern eine Stärkung der Demokratie und der demokratischen Bürgerrechte.","- We demand a strengthening of democracy and democratic civil rights.","202",NA
